0,139,636,93,
1,320,802,281,
2,54,237,47,
3,41,40,18,
4,76,125,47,
5,101,176,67,
6,27,232,17,
7,15,30,4,
8,29,104,29,
9,16,15,8,
10,126,254,94,
11,191,132,99,
12,208,384,175,
13,37,350,21,
14,21,199,14,
15,26,45,15,
16,73,56,18,
17,28,118,12,
18,44,3035,35,
19,190,466,168,
20,58,229,54,
21,99,239,73,
22,272,281,212,
23,57,65,43,
24,70,248,61,
25,252,128,96,
26,197,226,114,
27,334,894,212,
28,139,785,138,
29,125,369,124,
30,288,429,263,
31,440,579,426,
32,35,123,18,
33,175,204,101,
34,493,820,443,
35,325,379,199,
36,146,96,76,
37,160,223,145,
38,106,131,105,
39,152,208,74,
40,238,817,227,
41,79,36,30,
42,68,68,68,
43,232,296,212,
44,843,672,286,
45,195,302,176,
46,45,384,32,
47,41,48,41,
48,210,311,167,
49,90,519,75,
50,115,228,88,
51,97,307,87,
52,52,36,18,
53,35,269,24,
54,68,254,48,
55,99,265,86,
56,2,3,1,
57,11,105,5,
58,157,249,109,
59,86,517,78,
60,65,148,28,
61,156,280,131,
62,106,77,28,
63,233,271,147,
64,47,499,32,
65,173,327,94,
66,294,408,251,
67,60,215,36,
68,221,228,172,
69,41,259,35,
70,42,28,17,
71,240,259,193,
72,140,318,105,
73,79,174,55,
74,188,512,153,
75,188,112,79,
76,69,199,35,
77,199,694,160,
78,170,218,110,
79,241,246,120,
80,38,40,12,
81,164,383,139,
82,67,89,33,
83,124,342,90,
84,36,57,7,
85,217,352,158,
86,83,83,83,
87,59,129,40,
88,77,179,62,
89,84,151,82,
90,122,485,95,
91,60,95,13,
92,27,322,26,
93,66,296,50,
94,17,19,8,
95,7,18,4,
96,101,286,70,
97,64,198,56,
98,144,131,79,
99,34,53,17,
100,166,293,114,
101,199,316,172,
102,92,422,74,
103,117,444,99,
104,90,399,76,
105,197,272,160,
106,69,83,39,
107,132,354,72,
108,81,152,71,
109,58,140,32,
110,77,214,42,
111,69,150,38,
112,130,336,51,
113,210,154,110,
114,34,27,20,
115,58,170,45,
116,82,184,50,
117,172,210,120,
118,123,1004,120,
119,386,173,143,
120,103,231,63,
121,7,8,3,
122,109,200,98,
123,231,195,125,
124,129,173,47,
125,68,668,53,
126,61,168,31,
127,188,337,160,
128,101,848,81,
129,52,52,52,
130,124,375,89,
131,33,53,14,
132,139,156,114,
133,42,187,34,
134,14,126,9,
135,188,632,172,
136,111,1180,86,
137,101,87,70,
138,26,328,22,
139,82,128,28,
140,152,243,75,
141,305,360,175,
142,130,103,67,
143,171,1521,93,
144,41,12,8,
145,662,75,73,
146,41,8,6,
147,22,27,9,
148,15,6,3,
149,20,9,3,
150,22,4,3,
151,5,0,0,
152,4,0,0,
153,16,14,2,
154,206,133,33,
155,115,102,73,
156,50,63,20,
157,7,1,0,
158,47,16,15,
159,102,51,49,
160,5,0,0,
161,69,14,13,
162,8,0,0,
163,54,18,14,
164,28,32,14,
165,170,273,101,
166,44,16,6,
167,148,94,72,
168,62,44,35,
169,260,333,148,
170,3,1,1,
171,4,0,0,
172,68,196,34,
173,5,0,0,
174,11,1,1,
175,69,28,22,
176,9,3,0,
177,12,0,0,
178,80,18,13,
179,1,0,0,
180,52,31,17,
181,13,4,3,
182,3,0,0,
183,37,4,4,
184,7,2,2,
185,76,74,33,
186,38,11,7,
187,34,348,25,
188,58,10,5,
189,17,17,4,
190,20,5,4,
191,67,112,28,
192,71,48,42,
193,95,108,67,
194,43,10,10,
195,287,268,178,
196,3,1,0,
197,53,11,10,
198,91,192,61,
199,34,30,19,
200,35,37,20,
201,188,16,13,
202,23,4,3,
203,178,54,50,
204,1,0,0,
205,14,9,6,
206,27,13,5,
207,30,8,5,
208,36,35,15,
209,6,3,2,
210,134,378,107,
211,18,27,6,
212,246,31,30,
213,38,18,12,
214,27,11,8,
215,180,110,68,
216,101,50,39,
217,234,111,42,
218,2,0,0,
219,17,7,4,
220,3,1,0,
221,11,9,4,
222,116,118,52,
223,133,237,66,
224,6,13,5,
225,140,247,107,
226,36,6,6,
227,1,2,0,
228,93,13,11,
229,26,19,9,
230,7,0,0,
231,14,4,3,
232,57,24,16,
233,119,235,78,
234,118,40,40,
235,86,264,56,
236,62,184,48,
237,73,122,35,
238,206,101,55,
239,75,80,21,
240,17,3,3,
241,49,50,21,
242,61,32,26,
243,30,31,9,
244,38,16,16,
245,199,53,46,
246,54,7,5,
247,15,4,4,
248,83,33,32,
249,99,118,72,
